dA    cX  cY  fitness wavelen_pen purcell qxmin   qxmax   qscat   qtot    vmode   vmode_copy  F lat_const
0.175403 0.678241 1.700000 -395993.250924 0.993700 63229.739011 254366.364435 114774.438715 416223.998991 66460.059016 1.051089 1.051089 406381996819968.250000 0.292852

0.177859 0.697595 1.700000 -406344.748995 0.312742 84035.995681 365458.130388 161895.878418 430306.512648 88991.518478 1.058969 1.058969 411012543125431.250000 0.295957

0.177859 0.697595 1.700000 -403081.276683 0.987423 84001.986313 363247.180816 159567.730206 421122.471435 87761.764507 1.044758 1.044758 407150004500045.000000 0.296285

0.174691 0.713392 1.700000 -397471.347750 0.679693 91212.892477 407306.306878 181276.868035 421199.202735 96658.030341 1.059697 1.059697 409185524855248.562500 0.298096

0.174691 0.713392 1.700000 -263131.094408 0.998538 82159.817658 403088.261657 186767.357861 281128.961678 87779.455643 1.068399 1.068399 406853001530015.312500 0.298208

0.175225 0.687028 1.700000 -283105.000006 0.186258 71532.132372 296526.765093 135030.841383 274420.719529 69337.875469 0.969325 0.969325 401514448144481.437500 0.294405

0.175225 0.687028 1.700000 -396885.656359 0.999620 70565.010059 297707.836250 131853.509810 422582.892192 75133.897031 1.064747 1.064747 406778000780007.750000 0.294462

0.174869 0.704604 1.700000 -404508.213948 0.560491 86265.234012 376851.852400 166626.058633 426240.493745 90899.849918 1.053725 1.053725 409743530435304.375000 0.296666

0.174869 0.704604 1.700000 -415079.311760 0.996924 89070.398560 376651.566614 167409.385129 424197.496296 91027.037467 1.021967 1.021967 406922002220022.250000 0.296827

0.174691 0.713392 1.700000 -396123.106232 0.830021 92849.208298 410501.561468 181856.566654 411638.775107 96486.000872 1.039169 1.039169 408426517265172.625000 0.298088

0.174691 0.713392 1.700000 -260620.105697 0.999905 81380.592322 402875.255163 186784.452621 281075.359223 87767.899408 1.078487 1.078487 406739000390003.875000 0.298116

0.186349 0.684671 1.700000 -234027.440387 0.574586 67479.938151 322710.030079 143771.503772 245478.957700 70781.891455 1.048932 1.048932 403722470224702.250000 0.295934

0.186349 0.684671 1.700000 -399960.673859 0.992066 78319.734651 321235.555862 142998.464107 406366.719393 79574.157446 1.016017 1.016017 406342996429964.312500 0.295674

0.172733 0.700682 1.700000 -396320.432700 0.999209 79511.556139 352146.028514 155464.059516 429724.032485 86213.133904 1.084284 1.084284 406812501125011.250000 0.295756

0.176978 0.694219 1.700000 -409340.997036 0.993521 78774.371450 335500.882523 149671.504847 434320.945619 83581.560964 1.061025 1.061025 406377496774967.750000 0.295521

0.176364 0.701100 1.700000 -408461.383988 0.891208 84143.341462 373829.650118 164093.999542 439538.743073 90545.299982 1.076084 1.076084 408057513575135.750000 0.296507
